Feature,Covered,Defining Type,UML Standard,Filtered
appliedStereotypeInstance,true,[Abstract] Element,true,true
_stateInvariantOfCovered,true,Lifeline,false,false
isQuery,true,Operation,true,true
datatype,true,Operation,true,true
_structuredClassifierOfOwnedConnector,true,Connector,false,true
mustIsolate,true,StructuredActivityNode,true,true
_vertexOfRedefinedVertex,true,[Abstract] Vertex,false,false
destroyAt,true,LinkEndDestructionData,true,true
_nodeOfNestedNode,true,Node,false,true
_behaviorOfOwnedParameter,true,Parameter,false,true
_templateSignatureOfParameter,true,TemplateParameter,false,false
_acceptCallActionOfReturnInformation,true,OutputPin,false,true
association,true,ClearAssociationAction,true,true
_interactionUseOfArgument,true,[Abstract] ValueSpecification,false,true
_signalEventOfSignal,true,Signal,false,false
provided,true,Port,true,false
ownedAttribute,true,[Abstract] StructuredClassifier,true,true
body,true,OpaqueExpression,true,true
ownedOperation,true,Artifact,true,true
_durationOfObservation,true,[Abstract] Observation,false,false
visibility,true,[Abstract] NamedElement,true,true
preCondition,true,ProtocolTransition,true,true
covered__from_OccurrenceSpecification,true,OccurrenceSpecification,true,false
result,true,ReadLinkObjectEndQualifierAction,true,true
target,true,SendSignalAction,true,true
classifierBehavior,true,[Abstract] BehavioredClassifier,true,true
isFinalSpecialization,true,[Abstract] Classifier,true,true
_clauseOfTest,true,[Abstract] ExecutableNode,false,false
signal,true,SignalEvent,true,true
client,true,Dependency,true,true
ownedStereotype,true,Package,true,false
_loopNodeOfLoopVariableInput,true,InputPin,false,true
ownedParameter__from_Operation,true,Operation,true,false
_clearAssociationActionOfAssociation,true,Association,false,false
_acceptEventActionOfTrigger,true,Trigger,false,true
_messageOfSendEvent,true,[Abstract] MessageEnd,false,false
_loopNodeOfBodyPart,true,[Abstract] ExecutableNode,false,false
isControlType,true,[Abstract] ObjectNode,true,true
_transitionOfRedefinedTransition,true,Transition,false,false
decisionInputFlow,true,DecisionNode,true,true
inputValue,true,OpaqueAction,true,true
isSubstitutable,true,Generalization,true,true
_activityParameterNodeOfParameter,true,Parameter,false,false
nameExpression,true,[Abstract] NamedElement,true,true
interactionOperator,true,CombinedFragment,true,true
extensionPoint,true,UseCase,true,true
execution,true,ExecutionOccurrenceSpecification,true,true
signal,true,Reception,true,true
_addStructuralFeatureValueActionOfInsertAt,true,InputPin,false,true
loopVariableInput,true,LoopNode,true,false
_clearStructuralFeatureActionOfResult,true,OutputPin,false,true
firstEvent,true,TimeConstraint,true,true
_associationOfNavigableOwnedEnd,true,Property,false,false
_extendOfExtendedCase,true,UseCase,false,false
parameteredElement__from_ConnectableElementTemplateParameter,true,ConnectableElementTemplateParameter,true,false
_objectFlowOfSelection,true,[Abstract] Behavior,false,false
general,true,Generalization,true,true
_broadcastSignalActionOfSignal,true,Signal,false,false
expr,true,TimeExpression,true,true
value,true,QualifierValue,true,true
_readLinkObjectEndQualifierActionOfObject,true,InputPin,false,true
body,true,OpaqueAction,true,true
edge,true,StructuredActivityNode,true,true
decisionInput,true,DecisionNode,true,true
mergedPackage,true,PackageMerge,true,true
role,true,[Abstract] StructuredClassifier,true,false
target,true,[Abstract] DirectedRelationship,true,false
instance,true,InstanceValue,true,true
extensionLocation,true,Extend,true,true
end,true,[Abstract] ConnectableElement,true,false
container,true,Transition,true,true
isRemoveDuplicates,true,RemoveVariableValueAction,true,true
replyValue,true,ReplyAction,true,true
importedPackage,true,PackageImport,true,true
