Feature,Covered,Defining Type,UML Standard,Filtered
_packageMergeOfMergedPackage,true,Package,false,false
_timeIntervalOfMax,true,TimeExpression,false,false
operand,true,Expression,true,true
generalization,true,GeneralizationSet,true,true
_messageOfReplyMessage,true,Message,false,false
replyToCall,true,ReplyAction,true,true
target,true,CallOperationAction,true,true
_activityParameterNodeOfParameter,true,Parameter,false,false
_artifactOfOwnedAttribute,true,Property,false,true
structuralFeature,true,[Abstract] StructuralFeatureAction,true,true
_slotOfDefiningFeature,true,[Abstract] StructuralFeature,false,false
_broadcastSignalActionOfSignal,true,Signal,false,false
subExpression,true,StringExpression,true,true
_clauseOfBody,true,[Abstract] ExecutableNode,false,false
_componentOfPackagedElement,true,[Abstract] PackageableElement,false,true
precondition,true,Operation,true,true
clause,true,ConditionalNode,true,true
deploymentLocation,true,DeploymentSpecification,true,true
_classOfSuperClass,true,Class,false,false
message,true,Interaction,true,true
metaclassReference,true,Profile,true,true
_structuredActivityNodeOfStructuredNodeInput,true,InputPin,false,true
_actionOfLocalPrecondition,true,Constraint,false,true
value,true,ValuePin,true,true
generalMachine,true,ProtocolConformance,true,true
allowSubstitutable,true,ClassifierTemplateParameter,true,true
event,true,Trigger,true,true
_transitionOfEffect,true,[Abstract] Behavior,false,true
ownedEnd,true,Association,true,true
roleBinding,true,CollaborationUse,true,true
isDerivedUnion,true,Property,true,true
_regionOfRedefinitionContext,false,[Abstract] Classifier,false,false
_lifelineOfRepresents,true,[Abstract] ConnectableElement,false,false
_createObjectActionOfResult,true,OutputPin,false,true
handler,true,[Abstract] ExecutableNode,true,true
_testIdentityActionOfResult,true,OutputPin,false,true
superPartition,true,ActivityPartition,true,true
collaborationUse,true,[Abstract] Classifier,true,true
_durationIntervalOfMin,true,Duration,false,false
_testIdentityActionOfSecond,true,InputPin,false,true
isQuery,true,Operation,true,true
_manifestationOfUtilizedElement,true,[Abstract] PackageableElement,false,false
templateParameter__from_Operation,true,Operation,true,false
realization,true,Component,true,true
_collaborationUseOfType,true,Collaboration,false,false
node,true,Activity,true,true
source,true,[Abstract] DirectedRelationship,true,false
subgroup,true,[Abstract] ActivityGroup,true,false
entry,true,State,true,true
ownedDiagram,true,[Abstract] Namespace,true,true
_messageOfArgument,true,[Abstract] ValueSpecification,false,true
isSingleExecution,true,Activity,true,true
postContext,true,Constraint,true,true
deployment,true,DeploymentSpecification,true,true
target,true,Transition,true,true
preCondition,true,ProtocolTransition,true,true
outputValue,true,OpaqueAction,true,true
isExternal,true,ActivityPartition,true,true
upperBound,true,[Abstract] ObjectNode,true,true
operation,true,CallEvent,true,true
observation,true,[Abstract] Behavior,true,true
inputValue,true,[Abstract] LinkAction,true,true
isLocallyReentrant,true,[Abstract] Action,true,true
_sequenceNodeOfExecutableNode,true,[Abstract] ExecutableNode,false,true
incoming,true,[Abstract] ActivityNode,true,true
_interfaceOfNestedClassifier,true,[Abstract] Classifier,false,true
transition,true,Region,true,true
type,true,CollaborationUse,true,true
target,true,DestroyObjectAction,true,true
_loopNodeOfLoopVariable,true,OutputPin,false,true
result,true,CreateLinkObjectAction,true,true
represents,true,Lifeline,true,true
_considerIgnoreFragmentOfMessage,true,[Abstract] NamedElement,false,false
_classifierOfRepresentation,true,CollaborationUse,false,false
type,true,[Abstract] TypedElement,true,true
inPartition,true,[Abstract] ActivityEdge,true,true
_behavioredClassifierOfClassifierBehavior,true,[Abstract] Behavior,false,false
isRemoveDuplicates,true,RemoveStructuralFeatureValueAction,true,true
first,true,TestIdentityAction,true,true
toAfter,true,OccurrenceSpecification,true,true
isAbstract,true,[Abstract] Classifier,true,true
end,true,Connector,true,true
_interactionOfFormalGate,true,Gate,false,true
value,true,QualifierValue,true,true
ownedParameterSet,true,[Abstract] Behavior,true,true
importedPackage,true,PackageImport,true,true
_startObjectBehaviorActionOfObject,true,InputPin,false,true
referred,true,ProtocolTransition,true,false
ordering,true,[Abstract] ObjectNode,true,true
object,true,[Abstract] StructuralFeatureAction,true,true
type__from_ExtensionEnd,true,ExtensionEnd,true,false
_portOfRedefinedPort,true,Port,false,false
classifierBehavior,true,[Abstract] BehavioredClassifier,true,true
_parameterSetOfCondition,true,Constraint,false,true
_behaviorOfContext,false,[Abstract] BehavioredClassifier,false,false
deployedArtifact,true,Deployment,true,true
_invocationActionOfOnPort,true,Port,false,false
operation,true,CallOperationAction,true,true
isOrdered,true,[Abstract] MultiplicityElement,true,true
condition,true,Extend,true,true
_commentOfAnnotatedElement,true,[Abstract] Element,false,false
_reduceActionOfCollection,true,InputPin,false,true
regionAsInput,true,ExpansionNode,true,true
_namespaceOfMember,true,[Abstract] NamedElement,false,false
classifier,true,ReadExtentAction,true,true
value,true,LiteralInteger,true,true
_informationFlowOfRealizingActivityEdge,true,[Abstract] ActivityEdge,false,false
min__from_TimeInterval,true,TimeInterval,true,false
_redefinableElementOfRedefinitionContext,true,[Abstract] Classifier,false,false
_templateParameterOfDefault,true,[Abstract] ParameterableElement,false,false
_interactionFragmentOfGeneralOrdering,true,GeneralOrdering,false,true
ownedOperation,true,Interface,true,true
_stateOfExit,true,[Abstract] Behavior,false,true
signal,true,BroadcastSignalAction,true,true
cfragmentGate,true,CombinedFragment,true,true
_behaviorExecutionSpecificationOfBehavior,true,[Abstract] Behavior,false,false
stateMachine,true,Pseudostate,true,true
result,true,ReadLinkObjectEndAction,true,true
_operationOfRedefinedOperation,true,Operation,false,false
replyValue,true,ReplyAction,true,true
enumeration,true,EnumerationLiteral,true,true
specification,true,Constraint,true,true
_callActionOfResult,true,OutputPin,false,true
_enumerationLiteralOfClassifier,false,Enumeration,false,false
_destroyObjectActionOfTarget,true,InputPin,false,true
_linkEndDataOfValue,true,InputPin,false,false
returnValueRecipient,true,InteractionUse,true,true
type,true,Operation,true,false
region,true,State,true,true
fragment,true,Interaction,true,true
outputElement,true,ExpansionRegion,true,true
